sku,product_name,product_category,unit_cost,product_description
HOME002,Air Fryer,Home & Kitchen,55.0,"Digital air fryer with rapid hot air circulation, touchscreen controls, and 5L capacity for healthy, oil-free cooking."
HOME001,Blender,Home & Kitchen,38.12,"High-powered blender with stainless steel blades, multiple speed settings, and a durable glass jar for smoothies, soups, and more."
SPORT003,Camping Tent,Sports & Outdoors,69.0,"Compact waterproof 2-person tent with quick setup, breathable mesh panels, and durable weather-resistant materials."
HOME003,Cookware Set,Home & Kitchen,52.0,"Comprehensive 10-piece non-stick cookware set with ergonomic handles and even heat distribution, suitable for all stovetops."
APP001,Denim Jeans,Apparel,19.0,"Classic-fit denim jeans crafted from a stretchable cotton blend, offering comfort, durability, and timeless style."
SPORT002,Dumbbell Set,Sports & Outdoors,36.2,Versatile adjustable dumbbell set with ergonomic grips and multiple weight options for effective strength training at home.
BEAU003,Electric Toothbrush,Beauty & Health,27.5,"Rechargeable electric toothbrush with smart timer, 3 brushing modes, and long-lasting battery for superior oral hygiene."
BEAU001,Facial Cleanser,Beauty & Health,8.1,"Gentle daily foaming cleanser enriched with aloe vera and vitamin E, designed to remove impurities without drying the skin."
BEAU002,Hair Dryer,Beauty & Health,12.0,"Professional-grade ionic hair dryer with multiple heat and speed settings, cool shot feature, and diffuser for salon-quality results."
APP003,Running Shoes,Apparel,42.0,"Ultra-lightweight running shoes with cushioned soles, breathable mesh upper, and shock-absorbing design for peak performance."
ELEC002,Smartphone,Electronics,290.0,"Cutting-edge smartphone featuring a 6.5-inch OLED display, ultra-fast processor, and 128GB of storage for all your apps and media."
ELEC003,Smartwatch,Electronics,90.0,"Stylish fitness smartwatch with built-in heart rate monitor, GPS tracking, sleep analysis, and water-resistant design."
APP002,Winter Jacket,Apparel,51.0,"Heavy-duty insulated winter jacket with fleece lining, windproof shell, and adjustable hood for superior cold protection."
ELEC001,Wireless Headphones,Electronics,81.0,"Premium over-ear headphones with active noise cancellation, deep bass, and Bluetooth 5.0 for seamless wireless audio."
SPORT001,Yoga Mat,Sports & Outdoors,18.0,"Eco-friendly, high-density yoga mat with anti-slip surface, optimal cushioning, and a carry strap for easy transport."
